#Flow rate(1/s)	Mean velocity(m/s)
9.000	1.342
9.600	1.313
6.588	1.184
9.000	1.062
9.000	0.995
9.600	1.023
7.200	0.922
8.000	0.841
7.200	0.864
9.846	0.876
8.421	0.891
6.857	0.823
7.385	0.802
6.737	0.743
5.333	0.838
8.533	0.788
5.647	0.781
7.000	0.796
8.000	0.730
8.000	0.660
7.385	0.722
6.400	0.738
8.471	0.712
8.533	0.684
5.714	0.810
8.000	0.731
7.529	0.731
7.529	0.678
6.588	0.763
7.385	0.743
5.895	0.770
8.889	0.755
4.870	0.756
5.714	0.728
9.600	0.722
6.400	0.707
8.000	0.703
6.857	0.766
8.000	0.774
6.222	0.704
4.000	0.712
8.000	0.683
5.600	0.737
6.154	0.786
4.800	0.717
4.267	0.786
5.647	0.693
2.286	0.855
3.200	0.800
2.824	0.748
3.429	0.797
1.778	0.820
