#Flow rate(1/s)	Mean velocity(m/s)
8.533	1.376
6.000	1.209
7.529	1.057
8.000	0.961
6.222	0.979
6.154	0.882
6.222	0.950
8.471	0.877
6.400	0.871
7.000	0.815
6.400	0.854
6.000	0.784
5.647	0.706
6.667	0.742
6.000	0.741
4.571	0.720
8.000	0.770
6.000	0.712
7.273	0.737
5.053	0.719
6.222	0.771
6.000	0.788
6.400	0.777
6.400	0.725
6.000	0.782
7.529	0.704
5.333	0.710
6.222	0.791
5.000	0.681
4.571	0.757
6.222	0.664
7.385	0.748
5.895	0.727
8.000	0.756
8.727	0.749
5.000	0.708
4.800	0.684
5.647	0.757
5.714	0.776
5.000	0.759
7.111	0.826
7.385	0.765
4.444	0.711
5.333	0.687
4.444	0.785
6.857	0.732
5.714	0.697
5.600	0.756
5.333	0.746
5.333	0.754
6.222	0.813
5.000	0.794
2.286	0.805
4.444	0.793
4.000	0.811
4.211	0.714
3.429	0.802
6.400	0.790
3.200	0.748
1.600	0.842
